City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
0,Tuktoyaktuk,CA,69.45,-133.04,35.17,95,100,10.78,overcast clouds,0.0,0.0
1,Bubaque,GW,11.28,-15.83,82.15,78,75,11.23,broken clouds,0.0,0.0
2,Mataura,NZ,-46.19,168.86,39.0,83,40,3.0,scattered clouds,0.0,0.0
3,Saint-Philippe,RE,-21.36,55.77,68.0,77,72,2.24,light rain,0.15,0.15
4,Kapaa,US,22.08,-159.32,75.2,88,75,14.99,light rain,0.76,0.76
5,Vao,NC,-22.67,167.48,67.75,61,44,12.64,scattered clouds,0.0,0.0
6,Salalah,OM,17.02,54.09,84.2,83,20,1.12,few clouds,0.0,0.0
7,Castro,BR,-24.79,-50.01,66.45,73,0,5.3,clear sky,0.0,0.0
8,Samut Prakan,TH,13.6,100.6,86.0,89,20,9.17,light rain,0.0,0.0
9,Bukama,CD,-9.2,25.85,71.89,41,63,1.57,broken clouds,0.0,0.0
10,Quatre Cocos,MU,-20.21,57.76,72.0,68,20,16.11,few clouds,0.0,0.0
11,Codrington,AU,-38.27,141.97,43.95,91,86,4.97,overcast clouds,0.0,0.0
12,Barrow,US,71.29,-156.79,33.8,80,90,10.29,overcast clouds,0.0,0.0
13,Beba,CU,22.44,-79.73,91.4,55,75,8.05,broken clouds,0.0,0.0
14,New Norfolk,AU,-42.78,147.06,44.01,90,100,2.3,overcast clouds,0.0,0.0
15,Carnarvon,AU,-24.87,113.63,59.0,100,0,4.7,clear sky,0.0,0.0
16,La Ronge,CA,55.1,-105.28,53.6,62,75,5.82,broken clouds,0.0,0.0
17,Kieta,PG,-6.22,155.63,78.76,78,45,2.51,scattered clouds,0.0,0.0
18,Thompson,CA,55.74,-97.86,48.2,93,90,9.17,light intensity drizzle,0.0,0.0
19,Cape Town,ZA,-33.93,18.42,60.01,87,20,5.82,light rain,0.25,0.25
20,Rikitea,PF,-23.12,-134.97,75.74,85,82,13.02,moderate rain,1.55,1.55
21,Nushki,PK,29.55,66.02,78.44,13,0,4.27,clear sky,0.0,0.0
22,Hobart,AU,-42.88,147.33,46.4,93,90,4.7,light rain,0.38,0.38
23,Liusha,CN,27.21,108.59,70.0,100,100,0.89,light rain,0.12,0.12
24,Upernavik,GL,72.79,-56.15,41.05,73,0,3.89,clear sky,0.0,0.0
25,Ciudad Guayana,VE,8.35,-62.65,91.0,62,72,7.0,broken clouds,0.0,0.0
26,Pangai,TO,-19.8,-174.35,77.34,79,99,17.22,overcast clouds,0.0,0.0
27,Caravelas,BR,-17.71,-39.25,73.58,74,100,4.03,overcast clouds,0.0,0.0
28,Nuuk,GL,64.18,-51.72,42.8,75,40,10.29,scattered clouds,0.0,0.0
29,Saldanha,ZA,-33.01,17.94,57.2,87,91,4.7,light rain,0.14,0.14
30,Sao Felix Do Xingu,BR,-6.64,-51.99,85.24,57,13,5.06,few clouds,0.0,0.0
31,Matay,EG,28.42,30.78,82.24,27,0,14.27,clear sky,0.0,0.0
32,Rawlins,US,41.79,-107.24,71.6,18,1,18.34,clear sky,0.0,0.0
33,Owando,CG,-0.48,15.9,75.97,62,100,1.45,overcast clouds,0.0,0.0
34,Ushuaia,AR,-54.8,-68.3,37.4,87,75,3.36,broken clouds,0.0,0.0
35,Port-Gentil,GA,-0.72,8.78,77.0,88,75,11.41,broken clouds,0.0,0.0
36,Cabo San Lucas,MX,22.89,-109.91,93.2,48,5,11.41,clear sky,0.0,0.0
37,Norman Wells,CA,65.28,-126.83,60.8,93,75,8.05,light rain,0.0,0.0
38,Dikson,RU,73.51,80.55,35.98,84,99,21.18,overcast clouds,0.0,0.0
39,Olga,RU,43.74,135.29,50.92,93,100,3.11,light rain,0.11,0.11
40,Port Alfred,ZA,-33.59,26.89,64.99,50,18,7.0,few clouds,0.0,0.0
41,Colac,AU,-38.33,143.58,44.01,99,100,3.22,overcast clouds,0.0,0.0
42,Broken Hill,AU,-31.95,141.43,46.4,70,0,18.34,clear sky,0.0,0.0
43,Punta Arenas,CL,-53.15,-70.92,39.2,82,70,2.24,broken clouds,0.0,0.0
44,Pingdu,CN,36.78,119.95,73.0,94,20,8.95,few clouds,0.0,0.0
45,Pevek,RU,69.7,170.31,44.56,68,79,9.31,light rain,0.11,0.11
46,Mezen,RU,65.85,44.24,42.1,80,100,12.03,overcast clouds,0.0,0.0
47,Portland,US,45.52,-122.68,63.0,88,90,9.17,mist,0.3,0.3
48,Puerto Ayora,EC,-0.74,-90.35,75.2,78,20,17.22,few clouds,0.0,0.0
49,Kamenka,RU,51.32,42.77,73.99,59,49,5.01,scattered clouds,0.0,0.0
50,Rumonge,BI,-3.97,29.44,72.97,65,35,2.84,scattered clouds,0.0,0.0
51,Esperance,AU,-33.87,121.9,41.0,86,0,9.17,clear sky,0.0,0.0
52,Wencheng,CN,33.06,113.8,69.06,89,91,2.04,overcast clouds,0.0,0.0
53,Monticello,US,45.31,-93.79,72.0,64,100,5.53,overcast clouds,0.0,0.0
54,Busselton,AU,-33.65,115.33,41.0,69,0,6.35,clear sky,0.0,0.0
55,Oda,JP,35.18,132.5,64.24,84,0,5.37,clear sky,0.0,0.0
56,Mariental,NA,-24.63,17.97,53.85,36,0,4.12,clear sky,0.0,0.0
57,Gigmoto,PH,13.78,124.39,80.67,79,0,2.48,clear sky,0.0,0.0
58,Carballo,ES,43.21,-8.69,66.0,70,88,5.99,overcast clouds,0.0,0.0
59,Yantal,RU,56.85,105.25,53.67,81,3,1.19,clear sky,0.0,0.0
60,Faanui,PF,-16.48,-151.75,79.77,80,25,10.89,scattered clouds,0.0,0.0
61,Mangaratiba,BR,-22.96,-44.04,75.33,75,0,0.78,clear sky,0.0,0.0
62,Semirom,IR,31.42,51.57,58.71,29,0,4.18,clear sky,0.0,0.0
63,Lebu,CL,-37.62,-73.65,53.73,85,51,17.11,light rain,0.9,0.9
64,Kununurra,AU,-15.77,128.73,62.6,38,0,2.24,clear sky,0.0,0.0
65,Atuona,PF,-9.8,-139.03,79.74,77,4,16.4,clear sky,0.0,0.0
66,Luancheng,CN,37.88,114.65,75.2,64,0,4.47,clear sky,0.0,0.0
67,Vestmannaeyjar,IS,63.44,-20.27,51.8,87,75,26.4,broken clouds,0.0,0.0
68,Vila Franca Do Campo,PT,37.72,-25.43,68.0,77,20,12.75,few clouds,0.0,0.0
69,Pindi Gheb,PK,33.24,72.27,80.6,57,0,2.24,clear sky,0.0,0.0
70,Victoria,HK,22.29,114.16,84.0,74,50,8.99,scattered clouds,0.0,0.0
71,Provideniya,RU,64.38,-173.3,56.98,46,0,5.41,clear sky,0.0,0.0
72,Bredasdorp,ZA,-34.53,20.04,60.8,82,18,6.13,few clouds,0.0,0.0
73,Verkhnevilyuysk,RU,63.45,120.32,62.04,72,0,2.44,clear sky,0.0,0.0
74,Kodiak,US,57.79,-152.41,50.0,87,90,11.41,light rain,0.51,0.51
75,Juneau,US,58.3,-134.42,55.0,93,100,8.01,moderate rain,1.65,1.65
76,Husavik,IS,66.04,-17.34,62.6,63,40,16.11,scattered clouds,0.0,0.0
77,Zhigansk,RU,66.77,123.37,68.25,55,0,2.35,clear sky,0.0,0.0
78,Lamu,KE,-2.27,40.9,77.94,79,56,20.36,broken clouds,0.0,0.0
79,La Paz,BO,-16.5,-68.15,62.6,7,20,6.93,few clouds,0.0,0.0
80,Padang,ID,-0.95,100.35,77.63,76,98,4.12,overcast clouds,0.0,0.0
81,Altamira,BR,-3.2,-52.21,89.6,59,40,4.7,scattered clouds,0.0,0.0
82,Kabinda,CD,-6.13,24.48,73.15,41,6,2.53,clear sky,0.0,0.0
83,Waipawa,NZ,-41.41,175.52,53.01,96,100,11.79,light rain,0.42,0.42
84,Aykhal,RU,66.0,111.5,61.61,63,85,3.42,overcast clouds,0.0,0.0
85,Samarai,PG,-10.62,150.67,79.02,85,19,12.37,light rain,0.25,0.25
