City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bubaque,GW,82.15,broken clouds,11.28,-15.83,Casa Dora
6,Salalah,OM,84.2,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
8,Samut Prakan,TH,86.0,light rain,13.6,100.6,The Color Living Hotel
9,Bukama,CD,71.89,broken clouds,-9.2,25.85,
10,Quatre Cocos,MU,72.0,few clouds,-20.21,57.76,Veranda Palmar Beach Hotel
17,Kieta,PG,78.76,scattered clouds,-6.22,155.63,
21,Nushki,PK,78.44,clear sky,29.55,66.02,Bismillah Motor shoroom
26,Pangai,TO,77.34,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
27,Caravelas,BR,73.58,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
30,Sao Felix Do Xingu,BR,85.24,few clouds,-6.64,-51.99,Apart Hotel Rio Xingu
31,Matay,EG,82.24,clear sky,28.42,30.78,Nag Aespen
32,Rawlins,US,71.6,clear sky,41.79,-107.24,Holiday Inn Express Rawlins
33,Owando,CG,75.97,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
35,Port-Gentil,GA,77.0,broken clouds,-0.72,8.78,Fengshui Residence
44,Pingdu,CN,73.0,few clouds,36.78,119.95,Duowei Boutique Hotel Pingdu
48,Puerto Ayora,EC,75.2,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
49,Kamenka,RU,73.99,scattered clouds,51.32,42.77,
50,Rumonge,BI,72.97,scattered clouds,-3.97,29.44,Iratiro Tours
53,Monticello,US,72.0,overcast clouds,45.31,-93.79,Super 8 by Wyndham Monticello
57,Gigmoto,PH,80.67,clear sky,13.78,124.39,Cj's Travellers Inn
60,Faanui,PF,79.77,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
61,Mangaratiba,BR,75.33,clear sky,-22.96,-44.04,Portobello Resort & Safari
65,Atuona,PF,79.74,clear sky,-9.8,-139.03,Villa Enata
66,Luancheng,CN,75.2,clear sky,37.88,114.65,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
69,Pindi Gheb,PK,80.6,clear sky,33.24,72.27,Waqas Ali Home
70,Victoria,HK,84.0,scattered clouds,22.29,114.16,Mini Hotel Central
78,Lamu,KE,77.94,broken clouds,-2.27,40.9,Lamu House
80,Padang,ID,77.63,overcast clouds,-0.95,100.35,Mercure Padang
81,Altamira,BR,89.6,scattered clouds,-3.2,-52.21,Requinte Hotel
82,Kabinda,CD,73.15,clear sky,-6.13,24.48,Village Mianda Mutole
89,Srandakan,ID,76.21,overcast clouds,-7.94,110.25,Puri Brata
90,Bethel,US,84.99,few clouds,41.37,-73.41,Courtyard by Marriott Danbury
92,Yenagoa,NG,74.48,overcast clouds,4.92,6.26,Amba Hotels Limited
94,Boysun,UZ,70.11,clear sky,38.21,67.2,Gaza Hotel
98,Chokurdakh,RU,81.97,clear sky,70.63,147.92,
100,Jamestown,US,78.01,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
101,Lianyuan,CN,76.75,overcast clouds,27.69,111.66,Lianyuan Hotel
102,Muli,MV,83.89,overcast clouds,2.92,73.57,Medhufushi Island Resort
104,Deori Khas,IN,79.12,broken clouds,23.4,79.02,K K Hotel and Loj
107,Terme,TR,71.6,broken clouds,41.21,36.97,OTEL GÜVEN TERME
110,Kumla,SE,73.4,scattered clouds,59.13,15.14,Kumla Hotel
