City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2020-06-19 01:22:44,-46.19,168.86,45.79,69,0,6.13
1,New Norfolk,AU,2020-06-19 01:22:44,-42.78,147.06,46.99,84,100,1.54
2,Butaritari,KI,2020-06-19 01:22:45,3.07,172.79,83.39,62,97,2.95
3,Hobart,AU,2020-06-19 01:21:57,-42.88,147.33,46.99,81,75,6.93
4,Rikitea,PF,2020-06-19 01:22:46,-23.12,-134.97,74.68,87,100,17.81
5,Kassala,SD,2020-06-19 01:22:46,15.45,36.4,81.37,54,26,16.87
6,Port Alfred,ZA,2020-06-19 01:22:46,-33.59,26.89,60.01,62,0,5.01
7,Hofn,IS,2020-06-19 01:22:47,64.25,-15.21,49.05,82,0,0.34
8,Khatanga,RU,2020-06-19 01:22:47,71.97,102.5,56.03,53,27,10.54
9,Antofagasta,CL,2020-06-19 01:18:17,-23.65,-70.4,59.0,82,90,3.36
10,Sabang,ID,2020-06-19 01:22:47,5.89,95.32,83.68,74,67,10.6
11,Qaanaaq,GL,2020-06-19 01:22:47,77.48,-69.36,31.69,93,0,2.86
12,Bilibino,RU,2020-06-19 01:22:48,68.05,166.44,77.0,24,0,10.45
13,Baghdad,IQ,2020-06-19 01:22:48,33.34,44.4,80.6,30,0,8.05
14,Aykhal,RU,2020-06-19 01:22:48,66.0,111.5,64.4,59,75,8.95
15,Ushuaia,AR,2020-06-19 01:22:48,-54.8,-68.3,33.8,74,2,2.24
16,Brae,GB,2020-06-19 01:18:29,60.4,-1.35,50.0,100,100,10.29
17,Port-Gentil,GA,2020-06-19 01:22:49,-0.72,8.78,73.22,87,100,7.87
18,Seto,JP,2020-06-19 01:22:49,35.23,137.1,66.99,88,100,3.33
19,Kavieng,PG,2020-06-19 01:22:49,-2.57,150.8,85.28,65,1,1.95
20,Tautira,PF,2020-06-19 01:22:50,-17.73,-149.15,84.2,70,75,1.12
21,Kirensk,RU,2020-06-19 01:22:50,57.79,108.11,62.38,54,0,6.76
22,Busselton,AU,2020-06-19 01:22:50,-33.65,115.33,48.99,95,77,4.97
23,Coos Bay,US,2020-06-19 01:22:50,43.37,-124.22,73.99,72,1,17.22
24,Jamestown,US,2020-06-19 01:22:50,42.1,-79.24,73.4,49,1,3.36
25,Durban,ZA,2020-06-19 01:22:51,-29.86,31.03,55.99,81,9,3.36
26,Sitka,US,2020-06-19 01:22:51,57.05,-135.33,53.6,93,90,8.05
27,Klaksvik,FO,2020-06-19 01:20:07,62.23,-6.59,48.2,100,99,4.7
28,Kodiak,US,2020-06-19 01:22:51,57.79,-152.41,51.8,76,90,12.75
29,Capesterre-Belle-Eau,GP,2020-06-19 01:22:52,16.04,-61.57,82.4,74,75,8.05
30,Kabare,CD,2020-06-19 01:22:52,-2.47,28.82,58.23,82,84,0.31
31,East London,ZA,2020-06-19 01:22:52,-33.02,27.91,61.14,64,0,11.68
32,Luderitz,NA,2020-06-19 01:22:52,-26.65,15.16,69.8,29,0,5.82
33,Constitucion,CL,2020-06-19 01:22:53,-35.33,-72.42,55.87,93,100,24.07
34,Pacific Grove,US,2020-06-19 01:22:00,36.62,-121.92,71.6,49,1,5.82
35,Razdolinsk,RU,2020-06-19 01:22:53,58.42,94.67,59.76,54,100,7.36
36,Tasiilaq,GL,2020-06-19 01:22:53,65.61,-37.64,41.0,86,100,40.26
37,Miri,MY,2020-06-19 01:22:54,4.41,114.01,80.6,88,75,8.05
38,Beaverlodge,CA,2020-06-19 01:22:54,55.22,-119.44,75.2,38,40,2.24
39,Banda Aceh,ID,2020-06-19 01:22:54,5.56,95.32,82.65,74,68,7.72
40,Shenjiamen,CN,2020-06-19 01:22:55,29.96,122.3,70.03,93,100,11.41
41,Hobyo,SO,2020-06-19 01:22:55,5.35,48.53,78.26,75,34,25.61
42,Upernavik,GL,2020-06-19 01:22:55,72.79,-56.15,35.8,84,0,10.98
43,Bethel,US,2020-06-19 01:22:55,41.37,-73.41,72.0,83,1,4.7
44,Fortuna,US,2020-06-19 01:22:55,40.6,-124.16,64.0,77,1,11.41
45,Touros,BR,2020-06-19 01:22:56,-5.2,-35.46,71.6,100,75,3.36
46,Albany,US,2020-06-19 01:22:56,42.6,-73.97,78.01,62,90,4.74
47,Puerto Quijarro,BO,2020-06-19 01:22:56,-17.78,-57.77,74.77,66,56,2.19
48,Gejiu,CN,2020-06-19 01:22:56,23.31,103.16,63.64,100,90,3.69
49,Yaan,NG,2020-06-19 01:19:00,7.38,8.57,73.47,94,100,4.72
50,Vendychany,UA,2020-06-19 01:22:57,48.61,27.79,61.0,93,100,3.91
51,Belaya Gora,RU,2020-06-19 01:22:57,68.53,146.42,89.44,17,0,13.22
52,Mount Gambier,AU,2020-06-19 01:22:57,-37.83,140.77,55.4,66,0,16.11
53,Geraldton,AU,2020-06-19 01:18:06,-28.77,114.6,51.8,87,0,8.05
54,Cidreira,BR,2020-06-19 01:22:58,-30.18,-50.21,67.3,95,23,7.96
55,Kaitangata,NZ,2020-06-19 01:22:58,-46.28,169.85,50.0,62,10,15.01
56,Nishihara,JP,2020-06-19 01:22:58,26.18,127.76,86.0,79,75,25.28
57,Auki,SB,2020-06-19 01:22:58,-8.77,160.7,86.32,67,37,3.09
58,Ostrovnoy,RU,2020-06-19 01:22:59,68.05,39.51,42.91,93,100,15.46
59,Bluff,NZ,2020-06-19 01:22:59,-46.6,168.33,46.92,69,0,11.32
60,Bambanglipuro,ID,2020-06-19 01:22:59,-7.95,110.28,80.69,79,9,14.94
61,Grenaa,DK,2020-06-19 01:22:59,56.42,10.88,62.6,93,89,3.36
62,Bilma,NE,2020-06-19 01:22:59,18.69,12.92,85.98,19,0,3.96
63,Faanui,PF,2020-06-19 01:23:00,-16.48,-151.75,80.33,75,24,0.43
64,Ubinskoye,RU,2020-06-19 01:23:00,55.31,79.68,47.77,88,67,13.13
65,Atuona,PF,2020-06-19 01:23:00,-9.8,-139.03,80.44,74,4,13.09
66,Man,CI,2020-06-19 01:23:01,7.41,-7.55,71.87,94,99,3.49
67,Puerto Ayora,EC,2020-06-19 01:23:01,-0.74,-90.35,71.01,89,87,10.83
68,Najran,SA,2020-06-19 01:23:01,17.49,44.13,78.8,21,1,3.51
69,Mar Del Plata,AR,2020-06-19 01:19:12,-38.0,-57.56,52.0,87,0,9.17
70,Saint-Philippe,RE,2020-06-19 01:23:02,-21.36,55.77,69.8,64,78,23.04
71,Vaini,TO,2020-06-19 01:23:02,-21.2,-175.2,73.4,88,90,13.87
72,Beloha,MG,2020-06-19 01:23:03,-25.17,45.05,63.0,84,10,12.37
73,Chardara,KZ,2020-06-19 01:23:03,41.25,67.97,69.12,34,0,6.51
74,Komsomolskiy,UZ,2020-06-19 01:18:45,40.43,71.72,66.2,48,0,2.24
75,Havre-Saint-Pierre,CA,2020-06-19 01:23:04,50.23,-63.6,62.6,82,1,4.7
76,Champerico,GT,2020-06-19 01:23:04,14.3,-91.92,82.35,74,100,1.86
77,Bredasdorp,ZA,2020-06-19 01:23:04,-34.53,20.04,59.0,47,0,6.38
78,Sofiyivka,UA,2020-06-19 01:23:04,48.05,33.87,68.0,56,100,8.95
79,Tiksi,RU,2020-06-19 01:23:05,71.69,128.87,55.54,67,100,4.29
80,Carutapera,BR,2020-06-19 01:23:05,-1.2,-46.02,74.93,91,100,6.69
81,Soyo,AO,2020-06-19 01:23:05,-6.13,12.37,72.59,90,90,1.7
82,Mahebourg,MU,2020-06-19 01:23:05,-20.41,57.7,71.6,68,75,13.87
83,Provideniya,RU,2020-06-19 01:20:07,64.38,-173.3,55.4,62,15,11.18
84,Cape Town,ZA,2020-06-19 01:20:31,-33.93,18.42,62.6,42,0,6.93
85,Torbay,CA,2020-06-19 01:23:06,47.67,-52.73,62.01,72,90,13.87
86,Airai,TL,2020-06-19 01:23:06,-8.93,125.41,66.47,87,75,6.22
87,Arraial Do Cabo,BR,2020-06-19 01:23:07,-22.97,-42.03,69.8,83,61,10.29
88,Cabo San Lucas,MX,2020-06-19 01:22:00,22.89,-109.91,87.8,27,5,18.34
89,Marzuq,YE,2020-06-19 01:23:07,14.4,46.47,82.22,32,100,5.66
90,Barrow,US,2020-06-19 01:23:07,71.29,-156.79,44.6,70,1,12.75
91,Krasnoselkup,RU,2020-06-19 01:23:08,65.7,82.47,47.71,52,11,18.9
92,Saint-Pierre,RE,2020-06-19 01:23:08,-21.34,55.48,69.8,64,46,23.04
93,Port Augusta,AU,2020-06-19 01:23:08,-32.5,137.77,62.6,39,0,24.16
94,Moranbah,AU,2020-06-19 01:23:08,-22.0,148.05,68.92,64,47,19.75
95,Kenai,US,2020-06-19 01:23:09,60.55,-151.26,57.2,66,20,13.87
96,Merrill,US,2020-06-19 01:23:09,45.18,-89.68,77.0,57,40,3.36
97,Sinnamary,GF,2020-06-19 01:23:09,5.38,-52.95,77.67,83,100,6.38
98,Nikolskoye,RU,2020-06-19 01:23:09,59.7,30.79,62.6,82,0,2.24
99,Kupang,ID,2020-06-19 01:23:10,-10.17,123.58,84.2,62,40,19.46
100,Hilo,US,2020-06-19 01:23:10,19.73,-155.09,82.4,54,40,6.93
101,Dingle,PH,2020-06-19 01:23:10,11.0,122.67,80.6,79,100,5.21
102,Tuktoyaktuk,CA,2020-06-19 01:23:10,69.45,-133.04,44.6,81,20,9.17
103,Castro,BR,2020-06-19 01:23:11,-24.79,-50.01,57.87,94,100,4.81
104,Ojinaga,MX,2020-06-19 01:23:11,29.57,-104.42,100.4,12,1,3.36
105,Yellowknife,CA,2020-06-19 01:21:05,62.46,-114.35,68.0,34,20,16.11
106,Georgetown,MY,2020-06-19 01:20:03,5.41,100.34,82.4,94,20,6.93
107,Avarua,CK,2020-06-19 01:23:12,-21.21,-159.78,75.2,64,94,11.41
108,Finschhafen,PG,2020-06-19 01:23:12,-6.6,147.87,83.62,69,0,11.12
109,Farafangana,MG,2020-06-19 01:23:12,-22.82,47.83,68.02,85,47,12.35
110,Douentza,ML,2020-06-19 01:23:13,15.0,-2.95,84.06,45,100,0.34
111,Hermanus,ZA,2020-06-19 01:23:13,-34.42,19.23,50.0,77,0,1.01
112,Pevek,RU,2020-06-19 01:23:13,69.7,170.31,41.63,68,0,9.19
113,Kapaa,US,2020-06-19 01:23:13,22.08,-159.32,81.0,74,75,18.34
114,Kitgum,UG,2020-06-19 01:23:13,3.28,32.89,65.34,92,81,2.64
115,Saskylakh,RU,2020-06-19 01:23:14,71.92,114.08,76.37,34,100,11.27
116,Punta Arenas,CL,2020-06-19 01:23:14,-53.15,-70.92,37.4,93,100,9.17
117,Makakilo City,US,2020-06-19 01:23:14,21.35,-158.09,87.8,45,1,9.17
118,Norman Wells,CA,2020-06-19 01:23:15,65.28,-126.83,77.0,38,75,4.7
119,Chokurdakh,RU,2020-06-19 01:23:15,70.63,147.92,87.06,23,40,3.24
120,Katsuura,JP,2020-06-19 01:23:15,35.13,140.3,66.2,93,75,10.29
121,Bambous Virieux,MU,2020-06-19 01:23:15,-20.34,57.76,71.6,68,75,13.87
122,Severo-Kurilsk,RU,2020-06-19 01:23:15,50.68,156.12,44.37,86,95,11.45
123,Benghazi,LY,2020-06-19 01:23:16,32.12,20.07,74.44,48,0,3.06
124,Lavrentiya,RU,2020-06-19 01:23:16,65.58,-171.0,54.43,57,100,2.95
125,Pahrump,US,2020-06-19 01:23:16,36.21,-115.98,96.01,7,0,3.0
126,Manjacaze,MZ,2020-06-19 01:23:16,-24.71,33.88,61.0,93,57,5.79
127,Takhatpur,IN,2020-06-19 01:23:17,22.15,81.87,82.62,61,100,1.9
128,Kuching,MY,2020-06-19 01:21:25,1.55,110.33,80.6,83,20,6.93
129,Clinton,US,2020-06-19 01:23:17,42.59,-82.92,81.0,64,40,8.05
130,College,US,2020-06-19 01:23:17,64.86,-147.8,75.2,27,75,8.05
131,Dhidhdhoo,MV,2020-06-19 01:23:17,6.88,73.1,84.38,77,89,13.38
132,Noumea,NC,2020-06-19 01:20:55,-22.28,166.46,78.8,57,75,13.87
133,Asau,RO,2020-06-19 01:23:18,46.43,26.4,61.0,95,63,4.16
134,Thompson,CA,2020-06-19 01:23:18,55.74,-97.86,39.2,100,90,14.99
135,Salaga,GH,2020-06-19 01:23:18,8.55,-0.52,73.4,92,99,2.89
136,Mana,GF,2020-06-19 01:23:19,5.66,-53.78,77.41,86,100,6.51
137,Hovelhof,DE,2020-06-19 01:23:19,51.82,8.65,57.0,93,100,3.13
138,Sindor,RU,2020-06-19 01:23:19,62.86,51.89,50.32,78,100,4.27
139,Nanortalik,GL,2020-06-19 01:23:19,60.14,-45.24,38.23,87,69,4.61
140,Bandundu,CD,2020-06-19 01:23:19,-3.32,17.37,71.08,49,81,0.78
141,Cherskiy,RU,2020-06-19 01:23:19,68.75,161.3,78.98,26,0,9.48
142,Victoria,HK,2020-06-19 01:20:06,22.29,114.16,89.01,62,58,11.01
143,Esperance,AU,2020-06-19 01:23:20,-33.87,121.9,51.8,100,40,11.41
144,Lakatoro,VU,2020-06-19 01:23:20,-16.1,167.42,80.6,74,75,8.05
145,Hovd,MN,2020-06-19 01:23:20,48.01,91.64,65.37,27,99,9.6
146,Laguna,US,2020-06-19 01:23:21,38.42,-121.42,97.0,10,1,5.82
147,Mubi,NG,2020-06-19 01:23:21,10.27,13.26,74.97,78,10,3.89
148,Bay Roberts,CA,2020-06-19 01:23:21,47.6,-53.26,61.0,55,23,16.28
149,Hay River,CA,2020-06-19 01:23:21,60.82,-115.8,78.8,36,20,11.41
150,Luxor,EG,2020-06-19 01:21:57,25.7,32.64,82.4,42,0,2.24
151,Simav,TR,2020-06-19 01:23:22,39.09,28.98,57.18,83,0,2.91
152,Tonantins,BR,2020-06-19 01:23:22,-2.87,-67.8,74.39,93,59,0.51
